sit,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29
367,لم,не,nikada,,aldrig,nie,ποτέ,never,,poleks,,pas,לעולם לא,nikad,sose,,mai,な,nooit,aldri,nie,nunca,nu,,ne,nikad,aldrig,asla,không bao giờ,不
368,لن,,nikad,,aldrig,nie,ποτέ,never,nunca,mitte kordagi,ei,jamais,לא,nikada,soha,tidak pernah,mai,二,nooit,aldri,nigdy,nunca,niciodată,никогда,ne,никад,aldrig,asla,bao giờ,
369,,никога,nikada,,aldrig,nie,ποτέ,never,jamás,kunagi,älä ikinä,pas,.לעולם,nikada,aki,pernah,mai,,nooit,aldri,nie,nunca,nu,,nikoli ne,nikada,aldrig,,không bao giờ,不
370,لن,никога,nikada,,aldrig,nie,δε,never,no,,ei,ne jamais,לא,nikad nećeš,sosem,tak pernah,non,ず,nooit,aldri,nie,,nu,никогда не,ne,nikada,aldrig,asla,không bao giờ,
371,,никога,nikada,nikdy,aldrig,nie,ποτέ,never,nunca,kunagi,älä koskaan,jamais,.לעולם,nikad,,jangan pernah,mai,な,nooit,aldri,nigdy nie,nunca,niciodatã,никогда не,nikoli ne,nikada,aldrig,asla,không bao giờ,永远 不要
372,,никога,nikada,nikdy,aldrig,nie,ποτέ,never,nunca,kunagi,älä koskaan,ne jamais,.לעולם,nikada,soha nem,jangan,mai,な,nooit,aldri,nigdy nie,nunca,,никогда не,nikoli ne,nikada,aldrig,asla,bao giờ,永远 不要
373,لم,досега,nije,nikdy,aldrig,nie,ποτέ,never,jamás,,ole ennen,jamais,.מעולם לא,,sose,tak pernah,mai,な かっ,nooit,aldri,,nunca,mai,не,nisem,није,aldrig,hiç,,不
374,لم,никога,nikada,nikdy,aldrig,nie,,never,nunca,pole,ole,jamais,מעולם לא,nisam,soha nem,tak pernah,mai,こんな,nooit,aldri,nigdy nie,nunca,mai,никогда,nisem,nisam,aldrig,,chưa bao giờ,眖 ⊿
375,لم,никога,nikada,nikdy,aldrig,nie,ποτέ,never,nunca,varem,ole,jamais,מעולם לא,nismo,soha nem,pernah,mai,,nooit,aldri,nigdy nie,nunca,mai,не,nisva,nismo,aldrig,hiç,chưa bao giờ,
376,لم,досега,nikad,nikdy,aldrig,nie,ποτέ,never,nunca,kunagi,koskaan,jamais,מעולם לא,,soha nem,tak pernah,mai,かっ,nooit,aldri,,nunca,,не,nikoli nisem,nikada nisam,aldrig,hiç,chưa từng,来没
377,,,nikada,nikdy,aldrig,niemals,ποτέ,never,¿nunca,,koskaan,jamais,,-nikada,soha,tak pernah,mai,,nooit,aldri,nigdy,nunca,niciodată,никогда,-nikoli,nikada,någonsin,hiç,chưa từng,从来
378,‫أبدا,не,nikada,nikdy,,nie,ποτέ,never,nunca,,ei koskaan,jamais,אף פעם לא,nikada nije,sem,tak pernah,,,nooit,aldri,nigdy nie,nunca,vreodată,не,nikoli ni,nikada nije,inte,hiç,chưa bao giờ,
379,,не,nikada,nikdy,ikke,nie,,never,nunca,kunagi,ei ole,jamais,,nikada nisam,sosem,tidak pernah,mai,,nooit,aldri,nigdy nie,nunca,mai,не,nisem,nikada nisam,aldrig,hiç,chưa từng,
380,‫أبدا,никога,nikada,,aldrig,niemals,ποτέ,never,¡nunca,iial,ikinä,,מעולם לא,-nikada,soha,takkan pernah,,絶対,,aldri,nigdy,nunca,niciodată,,–nikoli,-nikad,aldrig,asla,không bao giờ,不
381,لم,никога,nikada,,aldrig,,δεν,never,nunca,,ei pitänyt,jamais,לא,nikad nije,sose,tak pernah,,は,niet,aldri,nigdy nie,nunca,,никогда не,ni,никада,aldrig,hiçbir,chưa bao giờ,不
382,لم,,nic,nikdy,aldrig,nie,ποτέ,never,nunca,,ikinä,jamais,,nikad,soha nem,belum pernah,non,な,nooit,aldri,,nunca,nu,не,nisva,nismo,aldrig,hiç,chưa bao giờ,
383,لم,никога,nikad,,aldrig,nie,δεν,never,nunca,kunagi,ei,jamais,,nikad,sose,pernah,mai,,,aldri,,nunca,niciodată,не,nikoli ni,никад,aldrig,hiç,không bao giờ,不
384,‫أبدا,,nikada,nikdy,aldrig,nie,ποτέ,never,nunca,,koskaan ole,jamais,מעולם לא,nikad,soha nem,tak pernah,mai,事,nooit,aldri,nigdy nie,nunca,mai,не,nismo,никад,aldrig,hiç,chưa từng,未
385,لم,не,nikada,nikdy,ikke,,ποτέ,never,nunca,kunagi,ei koskaan,ne,מעולם לא,,nem,belum,mai,な,niet,ikke,nie,jamais,,не,nikoli ni,nikada,aldrig,hiçbir,chưa bao giờ,
386,‫أبدا,не,nikada,,,,δε,never,nunca,ei,en,jamais,אף פעם לא,nikada,nem,tak pernah,non,な,nooit,aldri,nigdy,nunca,,не,ne,никада,aldrig,hiç,không bao giờ,從來 不
387,قط,не,nikad,,aldrig,nie,δε,never,nunca,pole eales,ole ikinä,n'ai pas,לא,nikad nisam,,tak pernah,,こと,nooit,aldri,ogóle nie,nunca,nu,не,,nikada nisam,aldrig,hiç,chưa,没
388,قط,не,nisam,životě,aldrig,nie,,never,nunca,,ikinä,jamais,לא,nisam,sose,pernah,mai,,nooit,aldri,,nunca,mai,не,nisem,nisam,aldrig,görmedim,chưa từng,
389,‫أبدا,никога,nikad,nikdy,,nie,ποτέ,never,nunca,ei,älä ikinä,ne,,nikad,sose,jangan pernah,mai,いけ な,nooit,aldri,nie,nunca,nu-i,никогда не,nikoli ne,nikada,aldrig,,đừng bao giờ,永远 不要
390,,иначе,nikad,nikdy,aldrig,nie,δε,never,nunca,iialgi,olisi,ne,‫לעולם לא,nikada,nem,takkan,,な かっ,nooit,ikke,,nunca,nu,никогда,ne,nikada,aldrig,asla,không bao,永 远
391,‫أبدا,не,nikad,nikdy,aldrig,nie,ποτέ,never,nunca,kunagi ei,etten,,,ne,nem,tak pernah,,,nooit,aldri,nigdy nie,nunca,nu,никогда не,ne,nikada,aldrig,sormadım,không bao giờ,从 不
392,‫أبدا,никога,nikad,nikdy,aldrig,niemals,ποτέ,never,¡jamás,ei iialgi,en ikinä,jamais,‫לעולם לא,nikad,soha,tidak,mai,断,nooit,aldri,nigdy,nunca,niciodată,никогда,nikoli,nikada,aldrig,asla,không bao giờ,永 不
393,‫أبدا,никога,nikada,nikdy,aldrig,nie,ποτέ,never,nunca,,ei ikinä,jamais,לעולם לא,nikada,sosem,tak pernah,,・,nooit,aldri,,nunca,nu,никогда не,nikoli ne,nikada,aldrig,asla,không bao giờ,从
394,لم,никога,nikad,,aldrig,nie,δεν,never,nunca,ei,eivät ikinä,jamais,לא,,nem,pernah,,な,nooit,aldri,nigdy nie,nunca,n-au,,niso,nikad,aldrig,hiç,chưa,未
395,‫أبدا,никога,nikada,,aldrig,nie,μην,never,jamás,kunagi,älä,ne jamais,.לעולם,nikad,soha,jangan pernah,mai,決して,nooit,aldri,nigdy nie,nunca,,не,nikoli ne,nikad,aldrig,asla,không bao giờ,不要
396,لم,никога,nikada,nikdy,aldrig,nie,ποτέ,never,nunca,,en,n'ai jamais,.מעולם לא,nikad nisam,nem,tak pernah,,,nooit,aldri,,nunca,,не,nikoli nisem,nikad nisam,aldrig,hiç,không bao giờ,我没
397,,никога,nikada,nikdy,aldrig,nie,ποτέ,never,nunca,kunagi,ikinä,jamais,לא,nikada,soha nem,tak,,,nooit,aldri,nigdy nie,nunca,,никогда не,nikoli ne,nikada nećete,aldrig,asla,không bao giờ,
398,لم,никога,nikad,nikdy,aldrig,nie,ποτέ,never,nunca,pole kunagi,,,.מעולם לא,nikad,sosem,tak,,,nooit,aldri,nigdy,nunca,niciodată,никогда,nikoli nisem,nikad nisam,aldrig,asla,chưa,從來 不
399,‫أبدا,никога,nikada,nikdy,aldrig,nie,,never,nunca,pole kunagi,ole ikinä,jamais,מעולם לא,nikada,soha nem,tidak,mai,な,nooit,ikke,nigdy,nunca,niciodată,никогда не,nikoli,никада,aldrig,hiç,chưa bao giờ,
400,لم,никога,nikada,nikdy,ikke,nie,ποτέ,never,nunca,ei,ei,jamais,לא,nikada nije,sosem,tak pernah,,な かっ,nooit,ikke,nie,nunca,n-a,никогда не,ni,никада није,aldrig,hiç,không,沒
401,,никога,nikada,neměla,,niemals,δεν,never,no,ei,eivät,,.לעולם לא,nikada,,tak pernah,,は,niet,ikke,nie,nunca,nu,не,ne,никада,aldrig,asla,không bao giờ,永
402,لم,не,nikada,nikdy,aldrig,niemals,ποτέ,never,nunca,,ei,,לא,nikada nije,soha nem,tak pernah,,は,nooit,aldri,nigdy nie,nunca,nu,не,ni,никада није,aldrig,asla,không bao giờ,
403,لم,нямаше,nikada,nikdy,aldrig,nie,ποτέ,never,nunca,pole,olisi,,אף פעם לא,nikada,nem,tak pernah,,な,nooit,aldri,nie,nunca,nu,не,nisem,никада,aldrig,hiç,không bao giờ,我永 远 不
404,لم,нямаше,nikada,nikdy,aldrig,nie,ποτέ,never,nunca,ei,olisi,,אף פעם לא,nikada,nem,takkan pernah,mai,,nooit,,nie,nunca,n-aş,не,nisem,никада,aldrig,hiç,không bao giờ,
405,,никога,nikada,nikdy,aldrig,nie,,never,nunca,ei,ettei,jamais,,nikad nije,sohasem,tak pernah,,な かっ,,aldri,nigdy nie,nunca,nu,никогда не,nikoli ni,никада није,aldrig,hiç,chưa từng,未
406,لن,няма,nikad,nikdy,aldrig,nie,ποτέ,never,nunca,ei,ei tule,,שלעולם לא,nikad,,tak pernah,,な,nooit,aldri,nigdy nie,nunca,nu,не,nikoli ne,никада нећеш,aldrig,,không bao giờ,永远 不
407,لم,не,,vůbec,aldrig,nie,ποτέ,never,nunca,pole kunagi,koskaan,,מעולם לא,,se,tak pernah,mai,な かっ,nooit,aldri,nigdy nie,nunca,,не,nikoli nisem,nisam,aldrig,,chưa bao giờ,从
408,‫أبدا,никога,videti,nikdy,aldrig,,δεν,never,,ei,ei,,לעולם לא,neće,sosem,tak,,な,niet,aldri,nigdy nie,nunca,,не,ne,videti,aldrig,görmez,không bao giờ,不
409,كهذا,не,,,,nie,ποτέ,never,nunca,ei,en,jamais,בחיים לא,nisam,,tak pernah,non,,nooit,aldri,nie,nunca,niciodată n-am,не,nikoli,nikad,aldrig,hiç,chưa từng,没想 过
410,,не,nikad,,aldrig,nie,ποτέ,never,nunca,pole,ole,jamais,.מעולם לא,nikad,sosem,pernah,mai,,nooit,aldri,dotąd,nunca,mai,не,nisem,nikada nisam,aldrig,hiç,chưa từng,从没
411,,не,nikad,,aldrig,nie,ποτέ,never,,kunagi,koskaan,jamais,מעולם לא,nikad nisi,sosem,pernah,mai,こと な,nooit,aldri,,nunca,niciodată,не,nikoli,nikada,aldrig,hiç,chưa,过
412,لم,никога,nikad,,,nie,ποτέ,never,nunca,kunagi,koskaan,,.מעולם לא,nikad nisam,sosem,pernah,mai,,nooit,aldri,nigdy nie,nunca,niciodată,не,nisem,nikad nisam,aldrig,hiç,chưa,过
413,لم,никога,,nepřemýšlel,ikke,nie,ποτέ,never,nunca,pole,ole,pas,.מעולם לא,nisam,nem,tidak pernah,mai,な,nooit,ikke,,nunca,nu,не,nikoli nisem,nikad nisam,aldrig,hiç,chưa bao giờ,我从 来没
414,كهذا,никога,nikad,,aldrig,nie,,never,nunca,kunagi,ikinä,jamais,.מעולם לא,nikad nisam,sosem,pernah,mai,こと な,nooit,aldri,,nunca,mai,не,nikoli nisem,nikad nisam,aldrig,görmemiştim,chưa,从
415,لم,никога,nikada,nikdy,aldrig,nie,δεν,never,nunca,,ikinä,jamais,מעולם לא,ne,sose,tak pernah,,ず,haatte,aldri,nigdy nie,nunca,niciodată nu,никогда не,nikoli,nikada,aldrig,hiç,không bao giờ,一向 都 不
416,,не,nikada,,ikke,nie,δε,never,no,,eivät,ne,לא,ne,nem,pernah,,事,niet,aldri,nigdy nie,nunca,niciodata nu,,nikoli ni,не,aldrig,asla,không bao giờ,不
417,لم,не,nisu,nikdy,aldrig,nicht,δε,never,¿nunca,ei,,ne,מעולם לא,nikad,nem,tak pernah,non,な かっ,nooit,,nie,,nu,не,niso,nisu,inte,hiçbir,không,
418,لم,никога,-nikada,nikdy,aldrig,nie,ποτέ,never,nunca,kunagi,,jamais,,nikad,,pernah,mai,こと,nooit,aldri,,nunca,mai,никогда,nisem,nikada nisam,aldrig,hiçbir,chưa từng,
419,‫أبدا,никога,nikada,nikdy,aldrig,nie,ποτέ,never,jamás,kunagi,älä ikinä,,.לעולם,nikada,soha nem,jangan,,,nooit,aldri,nigdy nie,nunca,nu,никогда не,nikoli ne,nikada,aldrig,asla,không bao giờ,
420,‫أبدا,никога,nikada,nikdy,aldrig,nie,ποτέ,never,jamás,ei iial,ikinä,jamais,לעולם,nikad,soha,takkan pernah,mai,,nooit,aldri,obiecuję,nunca,niciodată,hикoгдa,nikoli,nikad,aldrig,asla,không bao giờ,再也 不
421,لم,не,nikad,nikdy,aldrig,nie,ποτέ,never,no,,koskaan,n'ai jamais,לא,nisam,nem,tidak,,かっ,nooit,aldri,nie,nunca,nu,не,nisem,nikad nisam,aldrig,hiç,không,没
422,لم,не,nisam,nikdy,aldrig,nie,δεν,never,nunca,,en ole,jamais,מעולם לא,nikad,sosem,pernah,,こと,nooit,aldri,,nunca,n-am,,,nisam,inte,hiç,chưa từng,过
423,‫أبدا,не,nic,nikdy,aldrig,nie,,never,nunca,pole,koskaan,n'ai jamais,מעולם לא,nikad,sohasem,pernah,mai,,nooit,aldri,nie,nunca,niciodată,никогда не,nikoli,ni,aldrig,hiç,chưa từng,我没
424,,никога,nikad,nikdy,aldrig,niemals,ποτέ,never,jamás,pole kunagi,ei tule,,.לעולם לא,nikad nećeš,,takkan pernah,,,nooit,aldri,nie,nunca,niciodată nu,не,nikoli ne,nikad,aldrig,asla,không bao,ぃ
425,,никога,nikad,,aldrig,nie,ποτέ,never,nunca,kunagi,koskaan,jamais,.אף פעם לא,nikad,nem,tak pernah,,な,nooit,aldri,nigdy,nunca,niciodată,не,nikoli,nikad,aldrig,,không bao giờ,瞷筁
426,لم,никога,nikada,,,nie,,never,nunca,pole,ole,jamais,לא,nikada,soha,pernah,mai,な,,aldri,nie,nunca,mai,не,ni,nikada,aldrig,,từng,从没
427,لم,не,nikada,,aldrig,nie,,never,no,ei,koskaan,n'ai pas,מעולם לא,nikad,nem,tak pernah,,な,niet,ikke,nie,nunca,nu,никогда не,nisem,nikada nisam,inte,,chưa từng,
428,لم,не,nikad,nikdy,aldrig,nie,ποτέ,never,nunca,pole,,jamais,מעולם,nikad,nem,pernah,mai,事,nooit,ikke,nie,nunca,n-au,не,nisem,nikada nisu,aldrig,,chưa bao giờ,我从 没
429,لم,,nikad,vůbec,aldrig,,ποτέ,never,nunca,iial,eivät,jamais,לעולם לא,ni,sem,tidak,non,な,nooit,ikke,nie,nunca,niciodatã nu,не,nikoli,nikad,aldrig,asla,không bao giờ,不
430,‫أبدا,никога,nikada,nikdy,aldrig,niemals,ποτέ,never,jamás,eales ei,ei koskaan,ne,לעולם לא,nikada,sosem,pernah,,は,nooit,aldri,,nunca,,не,nikoli ne,nikada,aldrig,asla,bao giờ,永远
431,‫أبدا,не,nikada,nikdy,aldrig,nie,ποτέ,never,nunca,ei,en,pas,אף פעם לא,-nikada nisam,sosem,tak pernah,,な,nooit,aldri,,nunca,n-am,,nisem,никада нисам,aldrig,hiç,chưa bao giờ,我没
432,لن,никога,nikada,,aldrig,nie,ποτέ,never,no,,en,pas,בחיים לא,nikada,nem,tidak pernah,intenzione,な,niet,aldri,nigdy,nunca,,не,,nikada,aldrig,niyetim,không bao giờ,坚决 不
433,,никога,-nikada,,-aldrig,nie,ποτέ,never,nunca,ei iial,koskaan,jamais,מעולם לא,-nikada,sohasem,tidak pernah,mai,な,nooit,aldri,nigdy,nunca,niciodată,никогда,-nikoli,-nikad,aldrig,,không bao giờ,从 不
434,‫أبدا,никога,nikad,nikdy,aldrig,nie,δε,never,nunca,,,,אף פעם לא,nikad nije,sosem,tidak pernah,,な,nooit,aldri,nigdy nie,nunca,,всегда,nikoli ni,nije nikada ni,aldrig,hiç,chưa,从 不
435,لم,не,nikada,nikdy,aldrig,,δεν,never,nunca,ei,uskonut,,שלעולם לא,nikada,nem,tak,,,,aldri,nie,nunca,nu,не,nisem,nikada,aldrig,hiç,không bao giờ,想到
436,لم,не,nikad,nikdy,havde,nie,δεν,never,nunca,poleks kunagi,uskonut,pas,מעולם לא,nikad,sose,tak pernah,,まさか,nooit,trodde aldri,nie,nunca,nu,не,nisem,nikad nisam,inte,hiç,chưa bao giờ,从
437,,,ikada,někdy,aldrig,nie,ποτέ,ever,,kunagi,ole,,אי פעם,nikada,még,pernah,mai,た こと,ooit,aldri,kiedyś,nunca,te-ai,думал,nikoli,ikada,aldrig,hiçbir,bao giờ,
438,الرحب,сторил,anytime,zač,lidt,jederzeit,πάντα,anytime,nada,kell,tahansa,service,.מתי,uvijek,szívesen,,rifarei,どんな,altijd,alltid,usług,ordens,oricând,пустяки,drugič,uvek,närsomhelst,rica,lòng,不客
439,سأراهم,,ikada,,nogensinde,jemals,ποτέ,ever,alguno,kunagi,,,אי פעם,ikada,valaha,bisa,mai,二,ooit,noen gang,kiedyś,vê-las-ei,mai,сужденo,kdaj,ikada,återse,görebilecek,có bao giờ,再
440,,никога,ikada,někdy,nogensinde,mal,ποτέ,ever,¿nunca,kunagi,koskaan,jamais,,ikada,valaha,pernah,mai,,ooit,noen gang,ogóle,nunca,vreodatã,вообще,kdaj,ikada,nånsin,hiç,bao giờ,过
441,ساراهُ؟,някога,ikada,někdy,nogensinde,jemals,μπορέσω,ever,¿podré,kunagi,koskaan,pourrai,אי פעם,ikada,valamikor,boleh,,も 入,ooit,noen gang,kiedyś,nunca,vreodata,увидеть,sploh kdaj,ikada,,başlayabilir,có,以看
442,فكرت,питаш,sjecas,někdy,nogensinde,manchmal,σκεφτεί,ever,alguno,,mietitkö ikinä,t'arrive,אי פעם,,-szoktál arra,pernah,mai,た,eens,iblant,kiedykolwiek,alguma vez,vreodată,какие,kdaj,,nånsin,,từng,还记
443,أطلقتَ,някога,,někdy,nogensinde,je,ποτέ,ever,alguno,,,déjà,אי פעם,ikad,,pernah,mai,た こと,ooit,noengang,kiedyś,alguma vez,vreodată,когда-нибудь,kdaj,ikad,,hiç,có từng,最好
444,مكان,ходя,nikuda,neodejdu,steder,nirgendwo,πουθενά,anywhere,ningún,kuhugi,mihinkään,l'intention,לשום מקום,nikuda,sehova,mana-mana,nessuna parte,たり,nergens heen,sted,,lado nenhum,nicăieri,,nikamor,никуда,ingenstans,yere gitmiyorum,đâu,會走
445,مكانٍ,където,gdje,nikde,sted,überall,πουθενά,anywhere,donde,kuskil,mikään,,.בשום מקום,bilo gdje,sehol,manapun,nessuna parte,どこ,,noenplasssomhelst,potrafi,nenhum lado,nicăieri,нигде,nikjer,nigde,någonstans,yerde,đời,人能做
446,مكان,ходи,nigdje,,steder,nirgendwo,πουθενά,anywhere,¡r,kuhugi,minnekään,nulle part,בכל מקום,nikud,sehová,kemanapun,nessuna parte,行,nergens heen,steder,nigdzie,lado nenhum,nicăieri,никуда,–nikamor,никуд,ingenstans,yere,đâu hết,他哪 儿也
447,يبارح,ходи,nigde,neuteče,langt,weit,πουθενά,anywhere,,kusagile,minnekään,n'ira nulle part,לשום מקום,nikamo,sehova,mana,nessuna parte,,nergens heen,steder,nigdzie,lado nenhum,fugă,,nikamor,,ingenstans,yere gittiği,đâu đâu,
448,مكان,избяга,uteć,neuteče,steder,davon,πουθενά,anywhere,ir,s,minnekään,débiner,לשום מקום,,sehová,mana-mana,nessuna parte,逃げ,loopt,steder,zając,lado nenhum,nicăieri,убежит,ušla,,väntar,yere gittiği,đâu,会跑
449,مكان,никъде,-nikuda,nepůjdu,steder,nirgendwo,πουθενά,anywhere,ningún,kuhugi,minnekään,nulle part,לשום מקום,nikamo,sehova,kemanapun,nessuna parte,居,nergens heen,steder,,lado nenhum,nicăieri,никуда,nikamor,,ingenstans,yere gitmiyorum,đâu hết,我哪 儿也 不去
450,مكان,мърдам,nigdje,nejdu,vegne,nirgendwohin,πουθενά,nowhere,,kuhugi,minnekään,nulle part,,nigdje,megyek,kemana-mana,nessuna,何処,nergens,,,saio,nicãieri,никуда,nikamor,nigdje,stannar,gitmiyorum,đâu,儿都
451,اللا,никъде,nigdje,kam,steder,nirgendwohin,πoυθεvά,nowhere,ninguna,kuhugi,minnekään,nulle part,לשום מקום,nikamo,sehova,mana-mana,nessuna,どこ へ,nergens,ingen steder,nigdzie,,nicăieri,приехали,nikamor,nikamo,ingenstans,,,
452,للهرب,избягаш,kuda,kam,steder,sitzt,πουθενά,nowhere,adonde,kuhugi,pääse pakoon,d'issue,לברוח לשום מקום,kamo,hova,lolos,scampo,,nergens,ingen steder,dokąd,encurralado,unde,некуда,nikamor,куда,ingenstans,kaçacak yerin,chỗ trốn đâu,可逃
453,مكان,навсякъде,,kdekoliv,helst,sonst,οπουδήποτε,anywhere,cualquier parte,iganes,lie,n'importe où,מקום,bilo gdje,bárhol lehetnek,dimana,trovarsi ovunque,,overal,helst,wszędzie,em qualquer lugar,oriunde,угодно,kjerkoli,gde,varsomhelst,cikabilirmis,,无处
454,,никъде,nigdje,nepůjdou,siddende,nirgendwo,πουθενά,anywhere,irán,pääse,lähde,réponses,שנלך,nikamo,sehová,,muovono,,mogen,sted,pójdziemy,,mişcă,,nikamor,nigde,någonstans,hiçbir yere gitmemelerini,đâu,在我
455,مكان,някъде,negdje,,sted,irgendwo,κάπου,somewhere,algún lugar,kusagil,,etquelque part,והיכן,negdje,valahol,suatu tempat,qualche,どこ,ergens,sted,gdzieś,algures,undeva,где-нибудь,nekje,негде,nånstans,,đâu đó,獵
456,مكانٍ,взел,,odněkud,sted,,κάπου,somewhere,algún lado,sinul,jokin,avoir,,,valahonnan,suatu tempat,qualche,恐らく,ergens,sted,wziął,algures,undeva,откуда-то,nekje,,nånstans,almalıydı,đâu đó,給沃
457,مكان,,negdje,,sted,irgendwo,,somewhere,algún lugar,künkal,yllään,part,גבעה,brežuljku,nyugodnia,suatu tempat,cima,どこ,liggen,sted,gdzieś,algures,,каком-нибудь,hribu,брежуљку,nånstans,yerde,nơi,洒
458,لمكان,някъде,negde,někam,steder,irgendwohin,κάπου,somewhere,,kuskile,jokin,part,לאיזה מקום,nekamo,valahová,suatu tempat,qualche parte,,ergens,sted,dokądś,algum sítio,undeva,куда-то отправляюсь,odplula,negde,nånstans,yere,đâu đó,
459,فتحةً,,negdje,někde,,irgendwo,κάπου,somewhere,algún lugar,kusagil,jossakin,avoir,במקום,negdje,valahol,suatu tempat,qualche,どこ,ergens,sted,gdzieś,algures,undeva,где-то,nekje,негде,någonstans,yerde,chỗ,某 处
460,بمكانٍ,някъде,negde,někde,sted,irgendwo,κάπου,somewhere,algún lado,kusagil,jossakin,endroit,איפשהו,negdje,valahol,suatu tempat,reparto,どこ,ergens,sted,gdzieś,algures,undeva,где-то,nekje,negde,nånstans,yerde,đâu đó,地方
461,,някъде,negdje,někde,sted,irgendwo,κάπου,somewhere,alguna,kuskil,jossain,part,.במקום כלשהו,negdje,valahol,suatu tempat,qualche,,ergens,sted,gdzieś,algures,undeva,где-то,nekje,negde,nånstans,yerlerde,nơi,某个 地方
